enhanced_altitude_value,enhanced_altitude_units,enhanced_speed_value,enhanced_speed_units,heading_value,heading_units,id_value,id_units,position_lat_value,position_lat_units,position_long_value,position_long_units,timestamp_value,timestamp_units,timestamp_ms_value,timestamp_ms_units,unknown1_value,unknown1_units,unknown2_value,unknown2_units,unknown3_value,unknown3_units,unknown4_value,unknown4_units,unknown5_value,unknown5_units,utc_timestamp_value,utc_timestamp_units,
115.16,m,0.0,m/s,134.32,degrees,1,,578713638.8,semicircles,-854808125.4,semicircles,105.0,s,294.0,ms,62.4,,34.8,,71.6,,95.0,,208.0,,862317025.6,s,
115.43999999999998,m,0.0,m/s,134.32,degrees,2,,578713605.6,semicircles,-854808076.8,semicircles,105.0,s,794.0,ms,56.0,,31.8,,64.2,,95.0,,208.0,,862317026.0,s,
115.16000000000001,m,0.0,m/s,134.32,degrees,3,,578713575.0,semicircles,-854808020.0,semicircles,106.0,s,294.0,ms,51.6,,29.6,,59.8,,95.0,,208.0,,862317026.6,s,
114.55999999999999,m,0.0,m/s,134.32,degrees,4,,578713551.2,semicircles,-854807957.6,semicircles,106.0,s,794.0,ms,48.4,,27.8,,56.0,,95.0,,208.0,,862317027.0,s,
114.04,m,0.0,m/s,134.32,degrees,5,,578713530.6,semicircles,-854807941.8,semicircles,107.0,s,294.0,ms,45.2,,26.4,,52.4,,95.0,,208.0,,862317027.6,s,
114.36000000000001,m,0.0,m/s,134.32,degrees,6,,578713485.2,semicircles,-854807983.6,semicircles,107.0,s,794.0,ms,42.0,,25.2,,49.0,,95.0,,208.0,,862317028.0,s,
114.24000000000001,m,0.0,m/s,134.32,degrees,7,,578713453.8,semicircles,-854808039.2,semicircles,108.0,s,294.0,ms,39.0,,24.0,,46.2,,95.0,,208.0,,862317028.6,s,
113.75999999999996,m,0.0,m/s,134.32,degrees,8,,578713441.6,semicircles,-854808056.6,semicircles,108.0,s,794.0,ms,37.0,,23.8,,44.0,,95.0,,208.0,,862317029.0,s,
113.07999999999997,m,0.0,m/s,134.32,degrees,9,,578713414.6,semicircles,-854808050.4,semicircles,109.0,s,294.0,ms,34.2,,22.8,,41.2,,95.0,,208.0,,862317029.6,s,
113.28000000000002,m,0.0,m/s,134.32,degrees,10,,578713325.2,semicircles,-854807969.4,semicircles,109.0,s,794.0,ms,27.6,,21.2,,35.0,,93.4,,198.6,,862317030.0,s,
115.0,m,0.0,m/s,134.32,degrees,11,,578713234.4,semicircles,-854807828.2,semicircles,110.0,s,294.0,ms,23.2,,19.4,,30.2,,95.0,,208.0,,862317030.6,s,
114.44000000000001,m,0.0,m/s,134.32,degrees,12,,578713145.6,semicircles,-854807715.8,semicircles,110.0,s,794.0,ms,20.6,,18.8,,28.0,,95.0,,208.0,,862317031.0,s,
113.83999999999996,m,0.0,m/s,134.32,degrees,13,,578713073.4,semicircles,-854807587.6,semicircles,111.0,s,294.0,ms,19.2,,18.0,,26.4,,95.0,,208.0,,862317031.6,s,
114.32000000000002,m,0.0,m/s,134.32,degrees,14,,578713150.8,semicircles,-854807632.6,semicircles,111.0,s,794.0,ms,18.0,,17.2,,25.0,,95.0,,208.0,,862317032.0,s,
114.83999999999996,m,0.0,m/s,134.32,degrees,15,,578713144.8,semicircles,-854807633.4,semicircles,112.0,s,294.0,ms,17.0,,14.8,,22.8,,95.0,,208.0,,862317032.6,s,
115.0,m,0.0,m/s,134.32,degrees,16,,578713117.4,semicircles,-854807619.0,semicircles,112.0,s,794.0,ms,16.0,,13.2,,21.2,,95.0,,208.0,,862317033.0,s,
115.0,m,0.0,m/s,134.32,degrees,17,,578713137.0,semicircles,-854807647.2,semicircles,113.0,s,294.0,ms,15.8,,12.2,,20.0,,95.0,,208.0,,862317033.6,s,
115.0,m,0.0926,m/s,124.598,degrees,18,,578713164.2,semicircles,-854807646.6,semicircles,113.0,s,794.0,ms,15.0,,12.0,,19.2,,95.0,,208.0,,862317034.0,s,
115.20000000000005,m,0.6649999999999999,m/s,77.888,degrees,19,,578713192.4,semicircles,-854807570.6,semicircles,114.0,s,294.0,ms,15.0,,11.0,,19.0,,95.0,,208.0,,862317034.6,s,
115.20000000000005,m,0.8762000000000001,m/s,80.58599999999998,degrees,20,,578713184.6,semicircles,-854807461.6,semicircles,114.0,s,794.0,ms,15.0,,11.0,,18.4,,95.0,,208.0,,862317035.0,s,
115.16000000000004,m,0.9489999999999998,m/s,83.006,degrees,21,,578713192.4,semicircles,-854807367.8,semicircles,115.0,s,294.0,ms,14.0,,10.0,,18.0,,95.0,,208.0,,862317035.6,s,
115.0,m,1.0112,m/s,84.52000000000001,degrees,22,,578713202.6,semicircles,-854807280.6,semicircles,115.0,s,794.0,ms,14.0,,10.0,,17.2,,95.0,,208.0,,862317036.0,s,
114.96,m,1.0550000000000002,m/s,89.00399999999999,degrees,23,,578713194.0,semicircles,-854807191.4,semicircles,116.0,s,294.0,ms,14.0,,9.8,,17.0,,95.0,,208.0,,862317036.6,s,
114.71999999999998,m,1.0594,m/s,90.82000000000001,degrees,24,,578713179.8,semicircles,-854807089.6,semicircles,116.0,s,794.0,ms,13.6,,9.0,,17.0,,95.0,,208.0,,862317037.0,s,
114.28000000000002,m,1.0374,m/s,94.374,degrees,25,,578713176.8,semicircles,-854807007.0,semicircles,117.0,s,294.0,ms,13.0,,9.0,,16.2,,95.0,,208.0,,862317037.6,s,
114.0,m,1.0962,m/s,96.572,degrees,26,,578713170.8,semicircles,-854806904.2,semicircles,117.0,s,794.0,ms,13.0,,9.0,,16.0,,95.0,,208.0,,862317038.0,s,
113.83999999999996,m,1.2475999999999998,m/s,95.87,degrees,27,,578713156.6,semicircles,-854806786.2,semicircles,118.0,s,294.0,ms,13.0,,9.0,,16.0,,95.0,,207.8,,862317038.6,s,
113.75999999999996,m,1.3952000000000002,m/s,94.088,degrees,28,,578713148.2,semicircles,-854806655.2,semicircles,118.0,s,794.0,ms,13.0,,9.0,,16.0,,95.0,,208.0,,862317039.0,s,
113.60000000000002,m,1.512,m/s,91.428,degrees,29,,578713154.2,semicircles,-854806521.0,semicircles,119.0,s,294.0,ms,12.4,,9.0,,16.0,,95.0,,207.8,,862317039.6,s,
113.60000000000002,m,1.4916,m/s,93.238,degrees,30,,578713154.0,semicircles,-854806400.0,semicircles,119.0,s,794.0,ms,12.0,,9.0,,15.2,,93.0,,205.6,,862317040.0,s,
113.75999999999999,m,1.4309999999999998,m/s,97.096,degrees,31,,578713148.2,semicircles,-854806279.4,semicircles,120.0,s,294.0,ms,12.0,,9.0,,15.0,,93.0,,205.6,,862317040.6,s,
114.0,m,1.437,m/s,99.00800000000001,degrees,32,,578713147.2,semicircles,-854806166.2,semicircles,120.0,s,794.0,ms,11.0,,9.0,,15.0,,93.0,,205.4,,862317041.0,s,
114.0,m,1.3764,m/s,100.24600000000001,degrees,33,,578713163.2,semicircles,-854806089.6,semicircles,121.0,s,294.0,ms,11.0,,9.0,,14.2,,93.0,,205.4,,862317041.6,s,
113.91999999999999,m,1.2872,m/s,99.97200000000001,degrees,34,,578713190.6,semicircles,-854806038.6,semicircles,121.0,s,794.0,ms,11.0,,9.0,,14.0,,93.0,,205.6,,862317042.0,s,
113.79999999999995,m,1.1984,m/s,97.266,degrees,35,,578713227.0,semicircles,-854806010.8,semicircles,122.0,s,294.0,ms,10.8,,8.8,,14.0,,93.0,,205.8,,862317042.6,s,
113.79999999999995,m,1.1956000000000002,m/s,91.66999999999999,degrees,36,,578713268.2,semicircles,-854805975.0,semicircles,122.0,s,794.0,ms,10.0,,8.0,,14.0,,93.0,,205.6,,862317043.0,s,
113.91999999999999,m,1.1618,m/s,88.32,degrees,37,,578713310.6,semicircles,-854805948.6,semicircles,123.0,s,294.0,ms,10.0,,8.0,,13.0,,93.0,,205.6,,862317043.6,s,
114.0,m,1.0655999999999999,m/s,86.97999999999999,degrees,38,,578713340.4,semicircles,-854805917.0,semicircles,123.0,s,794.0,ms,10.0,,8.0,,13.0,,93.0,,205.8,,862317044.0,s,
114.12000000000003,m,1.0834,m/s,84.174,degrees,39,,578713362.0,semicircles,-854805853.0,semicircles,124.0,s,294.0,ms,10.0,,8.0,,13.0,,93.0,,205.4,,862317044.6,s,
114.35999999999999,m,1.0640000000000003,m/s,81.208,degrees,40,,578713390.0,semicircles,-854805801.6,semicircles,124.0,s,794.0,ms,10.0,,8.0,,13.0,,93.0,,205.8,,862317045.0,s,
114.6,m,1.036,m/s,79.36800000000001,degrees,41,,578713413.0,semicircles,-854805741.0,semicircles,125.0,s,294.0,ms,9.0,,8.0,,13.0,,93.0,,205.8,,862317045.6,s,
114.87999999999997,m,1.035,m/s,81.54400000000001,degrees,42,,578713424.0,semicircles,-854805667.4,semicircles,125.0,s,794.0,ms,9.0,,8.0,,13.0,,93.0,,206.0,,862317046.0,s,
115.20000000000002,m,1.0196,m/s,87.55599999999998,degrees,43,,578713427.0,semicircles,-854805604.6,semicircles,126.0,s,294.0,ms,9.0,,8.0,,12.6,,93.0,,205.6,,862317046.6,s,
115.39999999999998,m,0.9936,m/s,89.64599999999999,degrees,44,,578713434.6,semicircles,-854805540.0,semicircles,126.0,s,794.0,ms,9.0,,8.0,,12.0,,93.0,,205.4,,862317047.0,s,
115.47999999999999,m,1.0374,m/s,96.54,degrees,45,,578713432.8,semicircles,-854805461.4,semicircles,127.0,s,294.0,ms,9.0,,8.0,,12.0,,93.0,,205.8,,862317047.6,s,
115.67999999999999,m,1.118,m/s,96.40799999999999,degrees,46,,578713438.2,semicircles,-854805374.0,semicircles,127.0,s,794.0,ms,9.0,,8.0,,12.0,,93.0,,205.8,,862317048.0,s,
115.83999999999996,m,1.2428000000000001,m/s,97.946,degrees,47,,578713443.0,semicircles,-854805281.6,semicircles,128.0,s,294.0,ms,9.0,,8.0,,12.0,,93.0,,205.6,,862317048.6,s,
116.0,m,1.2372,m/s,96.988,degrees,48,,578713449.6,semicircles,-854805196.0,semicircles,128.0,s,794.0,ms,8.0,,8.0,,12.0,,93.0,,206.0,,862317049.0,s,
116.16000000000004,m,1.1652,m/s,91.864,degrees,49,,578713469.8,semicircles,-854805131.8,semicircles,129.0,s,294.0,ms,8.0,,8.0,,12.0,,93.0,,205.8,,862317049.6,s,
116.35999999999999,m,1.1318,m/s,87.194,degrees,50,,578713491.2,semicircles,-854805068.0,semicircles,129.0,s,794.0,ms,8.0,,8.0,,12.0,,93.0,,205.4,,862317050.0,s,
116.47999999999999,m,1.116,m/s,85.53,degrees,51,,578713502.8,semicircles,-854804991.0,semicircles,130.0,s,294.0,ms,8.0,,8.0,,12.0,,93.0,,205.8,,862317050.6,s,
116.64000000000001,m,1.167,m/s,81.47999999999999,degrees,52,,578713520.6,semicircles,-854804901.6,semicircles,130.0,s,794.0,ms,8.0,,8.0,,12.0,,93.0,,205.0,,862317051.0,s,
116.79999999999995,m,1.2075999999999998,m/s,75.08000000000001,degrees,53,,578713549.8,semicircles,-854804825.8,semicircles,131.0,s,294.0,ms,8.0,,8.0,,12.0,,93.0,,205.8,,862317051.6,s,
117.0,m,1.2274,m/s,72.71,degrees,54,,578713573.4,semicircles,-854804745.6,semicircles,131.0,s,794.0,ms,8.0,,8.0,,12.0,,93.0,,205.6,,862317052.0,s,
117.24000000000004,m,1.2995999999999999,m/s,70.36600000000001,degrees,55,,578713598.8,semicircles,-854804646.4,semicircles,132.0,s,294.0,ms,8.0,,8.4,,12.0,,93.0,,206.0,,862317052.6,s,
117.39999999999998,m,1.2899999999999998,m/s,64.9,degrees,56,,578713656.6,semicircles,-854804584.0,semicircles,132.0,s,793.4,ms,8.0,,9.0,,12.0,,93.0,,205.2,,862317053.0,s,
117.56000000000002,m,1.1852,m/s,61.15,degrees,57,,578713709.0,semicircles,-854804539.0,semicircles,133.0,s,293.0,ms,8.0,,9.0,,12.0,,93.0,,205.4,,862317053.6,s,
117.71999999999998,m,1.0156,m/s,57.40400000000001,degrees,58,,578713752.4,semicircles,-854804515.6,semicircles,133.0,s,793.0,ms,8.0,,9.0,,12.0,,93.0,,205.2,,862317054.0,s,
117.96,m,0.8944000000000001,m/s,63.746,degrees,59,,578713768.8,semicircles,-854804468.8,semicircles,134.0,s,293.0,ms,8.0,,9.0,,12.0,,93.0,,205.6,,862317054.6,s,
118.0,m,0.8178000000000001,m/s,67.36800000000001,degrees,60,,578713782.8,semicircles,-854804413.8,semicircles,134.0,s,793.0,ms,8.0,,9.0,,12.0,,93.0,,205.2,,862317055.0,s,
118.12000000000003,m,0.8485999999999999,m/s,67.784,degrees,61,,578713801.4,semicircles,-854804338.4,semicircles,135.0,s,293.0,ms,8.0,,9.0,,12.0,,93.0,,205.4,,862317055.6,s,
118.20000000000005,m,1.0594000000000001,m/s,69.618,degrees,62,,578713820.8,semicircles,-854804241.0,semicircles,135.0,s,793.0,ms,8.0,,9.0,,12.0,,93.0,,205.2,,862317056.0,s,
118.32000000000001,m,1.3178,m/s,68.71000000000001,degrees,63,,578713851.0,semicircles,-854804116.0,semicircles,136.0,s,293.0,ms,8.0,,9.0,,12.0,,93.0,,205.4,,862317056.6,s,
118.39999999999998,m,1.4946,m/s,68.222,degrees,64,,578713885.2,semicircles,-854804008.2,semicircles,136.0,s,793.0,ms,8.0,,9.0,,12.0,,93.0,,205.0,,862317057.0,s,
118.60000000000002,m,1.5264,m/s,68.196,degrees,65,,578713924.0,semicircles,-854803934.4,semicircles,137.0,s,293.0,ms,8.0,,9.0,,12.0,,93.0,,205.4,,862317057.6,s,
118.79999999999995,m,1.4182,m/s,68.368,degrees,66,,578713960.2,semicircles,-854803877.6,semicircles,137.0,s,793.0,ms,8.0,,9.6,,12.6,,93.0,,205.6,,862317058.0,s,
118.96,m,1.3218,m/s,68.066,degrees,67,,578713995.6,semicircles,-854803817.4,semicircles,138.0,s,293.0,ms,8.0,,10.0,,13.0,,93.0,,205.4,,862317058.6,s,
119.0,m,1.2886,m/s,67.30799999999999,degrees,68,,578714036.6,semicircles,-854803774.2,semicircles,138.0,s,793.0,ms,8.0,,10.0,,13.0,,93.0,,205.6,,862317059.0,s,
119.0,m,1.3144,m/s,67.89,degrees,69,,578714069.4,semicircles,-854803720.6,semicircles,139.0,s,293.0,ms,8.0,,10.0,,13.0,,93.0,,205.4,,862317059.6,s,
119.08000000000001,m,1.2308,m/s,70.86600000000001,degrees,70,,578714081.6,semicircles,-854803612.4,semicircles,139.0,s,793.0,ms,8.0,,10.0,,13.0,,93.0,,205.2,,862317060.0,s,
119.20000000000005,m,1.1842000000000001,m/s,70.81400000000001,degrees,71,,578714105.6,semicircles,-854803513.2,semicircles,140.0,s,293.0,ms,8.0,,10.0,,13.0,,93.0,,205.4,,862317060.6,s,
119.20000000000005,m,1.1868,m/s,68.526,degrees,72,,578714140.2,semicircles,-854803435.2,semicircles,140.0,s,793.0,ms,8.0,,11.0,,13.0,,93.0,,205.4,,862317061.0,s,
119.20000000000005,m,1.247,m/s,65.306,degrees,73,,578714189.4,semicircles,-854803343.0,semicircles,141.0,s,293.0,ms,8.0,,11.0,,13.0,,93.0,,205.4,,862317061.6,s,
119.24000000000004,m,1.3658,m/s,60.839999999999996,degrees,74,,578714277.6,semicircles,-854803247.0,semicircles,141.0,s,793.0,ms,8.0,,11.0,,13.8,,93.0,,205.6,,862317062.0,s,
119.39999999999998,m,1.4125999999999999,m/s,57.496,degrees,75,,578714342.4,semicircles,-854803146.6,semicircles,142.0,s,293.0,ms,8.0,,11.0,,14.0,,93.0,,205.4,,862317062.6,s,
119.39999999999998,m,1.3664,m/s,54.068000000000005,degrees,76,,578714401.6,semicircles,-854803069.8,semicircles,142.0,s,793.0,ms,8.0,,11.0,,14.0,,93.0,,205.4,,862317063.0,s,
119.39999999999998,m,1.3518000000000001,m/s,52.193999999999996,degrees,77,,578714456.4,semicircles,-854803002.2,semicircles,143.0,s,293.0,ms,8.0,,11.6,,14.0,,93.0,,205.6,,862317063.6,s,
119.39999999999998,m,1.285,m/s,50.038000000000004,degrees,78,,578714509.0,semicircles,-854802963.4,semicircles,143.0,s,793.0,ms,8.0,,12.0,,14.0,,93.0,,205.4,,862317064.0,s,
119.39999999999998,m,1.1771999999999998,m/s,49.462,degrees,79,,578714546.4,semicircles,-854802931.0,semicircles,144.0,s,293.0,ms,7.2,,12.0,,14.0,,93.0,,205.4,,862317064.6,s,
119.56000000000002,m,1.0548,m/s,52.041999999999994,degrees,80,,578714564.2,semicircles,-854802882.2,semicircles,144.0,s,793.0,ms,7.0,,12.0,,14.0,,93.0,,205.2,,862317065.0,s,
119.60000000000002,m,0.9432,m/s,54.144000000000005,degrees,81,,578714578.2,semicircles,-854802846.6,semicircles,145.0,s,293.0,ms,7.0,,12.0,,14.2,,93.0,,205.2,,862317065.6,s,
119.60000000000002,m,0.8394,m/s,57.227999999999994,degrees,82,,578714587.4,semicircles,-854802812.0,semicircles,145.0,s,793.0,ms,7.0,,12.6,,15.0,,93.0,,205.2,,862317066.0,s,
119.60000000000002,m,0.78,m/s,61.96,degrees,83,,578714591.4,semicircles,-854802762.2,semicircles,146.0,s,293.0,ms,7.0,,13.0,,15.0,,93.0,,205.2,,862317066.6,s,
119.64000000000001,m,0.7594000000000001,m/s,65.482,degrees,84,,578714600.8,semicircles,-854802709.2,semicircles,146.0,s,793.0,ms,7.0,,13.0,,15.0,,93.0,,205.2,,862317067.0,s,
119.79999999999995,m,0.7774000000000001,m/s,69.87800000000001,degrees,85,,578714605.4,semicircles,-854802633.8,semicircles,147.0,s,293.0,ms,6.8,,13.0,,15.0,,93.0,,205.0,,862317067.6,s,
119.79999999999995,m,0.8092,m/s,87.782,degrees,86,,578714571.6,semicircles,-854802534.8,semicircles,147.0,s,793.0,ms,6.0,,13.4,,15.0,,93.0,,205.4,,862317068.0,s,
119.79999999999995,m,0.9040000000000001,m/s,103.292,degrees,87,,578714588.2,semicircles,-854802496.0,semicircles,148.0,s,293.0,ms,6.0,,14.0,,15.0,,93.0,,205.2,,862317068.6,s,
